iteration_no,link_id,from_node_id,to_node_id,volume,ref_volume,base_demand_volume,obs_volume,background_volume,link_capacity,lane_capacity,D,doc,vdf_fftt,travel_time,vdf_alpha,vdf_beta,vdf_plf,speed_mph,speed_kmph,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_auto,obs_vol_auto,P,t0,t2,t3,vt2_mph,vt2_kmph,mu,Q_gamma,free_speed_mph,cutoff_speed_mph,free_speed_kmph,cutoff_speed_kmph,congestion_ref_speed_mph,avg_queue_speed_mph,avg_QVDF_period_speed_mph,congestion_ref_speed_kmph,avg_queue_speed_kmph,avg_QVDF_period_speed_kmph,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_mph_07:00,spd_mph_07:05,spd_mph_07:10,spd_mph_07:15,spd_mph_07:20,spd_mph_07:25,spd_mph_07:30,spd_mph_07:35,spd_mph_07:40,spd_mph_07:45,spd_mph_07:50,spd_mph_07:55,
1,3070,2056,2887,960.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,240.0000,0.0375,0.0500,0.0500,0.1500,4.0000,1.0000,40.0000,64.3600,38.400000,0.800000,38.400000,0.800000,0.857504,0.857504,"LINESTRING (-111.9183745 33.4074446, -111.917844 33.4074447, -111.917698 33.4074448)",960.000000,-1.000000,0.037500,7.481250,7.500000,7.518750,33.749981,54.303720,6400.000000,59628453.883203,45.000000,33.750000,72.405000,54.303750,44.578125,44.578112,44.781152,71.726203,71.726182,72.052873,0.053594,0.000000,45.000,44.927,44.854,44.781,44.708,44.635,33.750,44.635,44.708,44.781,44.854,44.927,
1,3071,2057,2048,960.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,240.0000,0.0375,0.0300,0.0300,0.1500,4.0000,1.0000,20.0000,32.1800,19.200000,0.480000,19.200000,0.480000,0.482346,0.482346,"LINESTRING (-111.925503 33.4074447, -111.9252008 33.4074445)",960.000000,-1.000000,0.037500,7.481250,7.500000,7.518750,29.999983,48.269973,6400.000000,33541005.309301,40.000000,30.000000,64.360000,48.270000,39.625000,39.624988,39.805468,63.756625,63.756606,64.046999,0.030147,0.000000,40.000,39.935,39.870,39.805,39.740,39.675,30.000,39.675,39.740,39.805,39.870,39.935,
1,3072,2058,1005,70.0000,0.0000,0.0000,-1.0000,0.0000,14400.0000,4800.0000,23.3333,0.0049,0.0400,0.0400,0.1500,4.0000,1.0000,30.0000,48.2700,2.100000,0.046667,2.100000,0.046667,0.052532,0.052532,"LINESTRING (-111.9251976 33.4075685, -111.9256844 33.4075643)",70.000000,-1.000000,0.004861,7.497569,7.500000,7.502431,30.000000,48.270000,2333.333333,66614133680.395752,40.000000,30.000000,64.360000,48.270000,39.951389,39.951389,39.975576,64.281785,64.281785,64.320702,0.045027,0.000000,40.000,39.992,39.984,39.976,39.967,39.959,30.000,39.959,39.967,39.976,39.984,39.992,
1,3073,2058,2048,0.0000,0.0000,0.0000,-1.0000,0.0000,1600.0000,1600.0000,0.0000,0.0000,0.0100,0.0100,0.1500,4.0000,1.0000,10.0000,16.0900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9251976 33.4075685, -111.9252008 33.4074445)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,26.250000,42.236250,0.000000,-nan(ind),35.000000,26.250000,56.315000,42.236250,35.000000,35.000000,35.000000,56.315000,56.315000,56.315000,0.017143,0.000000,35.000,35.000,35.000,35.000,35.000,35.000,-nan(ind),35.000,35.000,35.000,35.000,35.000,
1,3074,2059,2060,960.0000,0.0000,0.0000,-1.0000,0.0000,14400.0000,4800.0000,320.0000,0.0667,0.0700,0.0700,0.1500,4.0000,1.0000,51.4286,82.7486,57.600000,1.120000,57.600000,1.120000,1.291480,1.291480,"LINESTRING (-111.9209405 33.4074439, -111.9199744 33.4074441)",960.000000,-1.000000,0.066667,7.466667,7.500000,7.533333,33.749813,54.303448,4800.000000,6560695.972881,45.000000,33.750000,72.405000,54.303750,44.250000,44.249869,44.599991,71.198250,71.198039,71.761386,0.080718,0.000000,45.000,44.866,44.732,44.598,44.464,44.330,33.750,44.330,44.464,44.598,44.732,44.866,
1,3075,2059,2101,0.0000,0.0000,0.0000,-1.0000,0.0000,6400.0000,3200.0000,0.0000,0.0000,0.0100,0.0100,0.1500,4.0000,1.0000,10.0000,16.0900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-111.9209405 33.4074439, -111.9209436 33.4075259)",0.000000,-1.000000,0.000000,7.500000,7.500000,7.500000,26.250000,42.236250,0.000000,-nan(ind),35.000000,26.250000,56.315000,42.236250,35.000000,35.000000,35.000000,56.315000,56.315000,56.315000,0.017143,0.000000,35.000,35.000,35.000,35.000,35.000,35.000,-nan(ind),35.000,35.000,35.000,35.000,35.000,
1,3076,2060,2055,960.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,240.0000,0.0375,0.0300,0.0300,0.1500,4.0000,1.0000,20.0000,32.1800,19.200000,0.480000,19.200000,0.480000,0.428752,0.428752,"LINESTRING (-111.9199744 33.4074441, -111.91963 33.4074443, -111.9195487 33.4074443)",960.000000,-1.000000,0.037500,7.481250,7.500000,7.518750,33.749981,54.303720,6400.000000,29814226.941601,45.000000,33.750000,72.405000,54.303750,44.578125,44.578112,44.781152,71.726203,71.726182,72.052873,0.026797,0.000000,45.000,44.927,44.854,44.781,44.708,44.635,33.750,44.635,44.708,44.781,44.854,44.927,
1,3077,2061,2922,70.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,17.5000,0.0027,0.0500,0.0500,0.1500,4.0000,1.0000,40.0000,64.3600,2.800000,0.058333,2.800000,0.058333,0.062244,0.062244,"LINESTRING (-111.9219839 33.4075771, -111.922476 33.4075785, -111.922611 33.4075789)",70.000000,-1.000000,0.002734,7.498633,7.500000,7.501367,33.750000,54.303750,1750.000000,592406450466.262817,45.000000,33.750000,72.405000,54.303750,44.969238,44.969238,44.984577,72.355504,72.355504,72.380185,0.053352,0.000000,45.000,44.995,44.990,44.985,44.979,44.974,33.750,44.974,44.979,44.985,44.990,44.995,
1,3078,2063,2058,70.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,17.5000,0.0027,0.0400,0.0400,0.1500,4.0000,1.0000,20.0000,32.1800,1.400000,0.046667,1.400000,0.046667,0.035012,0.035012,"LINESTRING (-111.9247739 33.4075717, -111.9249673 33.4075702, -111.9251976 33.4075685)",70.000000,-1.000000,0.002734,7.498633,7.500000,7.501367,30.000000,48.270000,1750.000000,333228628387.272888,40.000000,30.000000,64.360000,48.270000,39.972656,39.972656,39.986291,64.316004,64.316004,64.337942,0.030010,0.000000,40.000,39.995,39.991,39.986,39.982,39.977,30.000,39.977,39.982,39.986,39.991,39.995,
1,3079,2064,2059,960.0000,0.0000,0.0000,-1.0000,0.0000,25600.0000,6400.0000,240.0000,0.0375,0.0400,0.0400,0.1500,4.0000,1.0000,30.0000,48.2700,28.800000,0.640000,28.800000,0.640000,0.643128,0.643128,"LINESTRING (-111.9214184 33.4074444, -111.9209405 33.4074439)",960.000000,-1.000000,0.037500,7.481250,7.500000,7.518750,33.749981,54.303720,6400.000000,44721340.412402,45.000000,33.750000,72.405000,54.303750,44.578125,44.578112,44.781152,71.726203,71.726182,72.052873,0.040195,0.000000,45.000,44.927,44.854,44.781,44.708,44.635,33.750,44.635,44.708,44.781,44.854,44.927,
